Gene description	Gene name
high mobility group box 1 pseudogene 39 [Source:HGNC Symbol;Acc:HGNC:39186]	HMGB1P39
microRNA 4463 [Source:HGNC Symbol;Acc:HGNC:41665]	MIR4463
UBE2V1 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:52414]	UBE2V1P15
RNA, U1 small nuclear 34, pseudogene [Source:HGNC Symbol;Acc:HGNC:48376]	RNU1-34P
signal peptide, CUB domain and EGF like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:13655]	SCUBE3
TATA-box binding protein associated factor 11 like 13 [Source:HGNC Symbol;Acc:HGNC:53856]	TAF11L13
glutamate ionotropic receptor AMPA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4571]	GRIA1
cytochrome P450 family 4 subfamily F member 36, pseudogene [Source:HGNC Symbol;Acc:HGNC:42407]	CYP4F36P
novel transcript, antisense to SCUBE3	
zinc finger protein 861, pseudogene [Source:HGNC Symbol;Acc:HGNC:34514]	ZNF861P
zinc finger protein 76 [Source:HGNC Symbol;Acc:HGNC:13149]	ZNF76
long intergenic non-protein coding RNA 1764 [Source:HGNC Symbol;Acc:HGNC:52553]	LINC01764
pre-mRNA processing factor 18 [Source:HGNC Symbol;Acc:HGNC:17351]	PRPF18
ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]	RPL22L1
integrin, alpha X (complement component 3 receptor 4 subunit) (ITGAX) pseudogene	
integrin subunit alpha D [Source:HGNC Symbol;Acc:HGNC:6146]	ITGAD
ZFP14 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:29312]	ZFP14
small integral membrane protein 19 [Source:HGNC Symbol;Acc:HGNC:25166]	SMIM19
novel transcript, antisense to ZFP14	
ZFP82 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:28682]	ZFP82
spermatogenesis associated 16 [Source:HGNC Symbol;Acc:HGNC:29935]	SPATA16
STARD3 N-terminal like [Source:HGNC Symbol;Acc:HGNC:19169]	STARD3NL
acyl-CoA thioesterase 2 (ACOT2) pseudogene	
ZNF566 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55301]	ZNF566-AS1
CTBP2 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:45199]	CTBP2P7
zinc finger protein 260 [Source:HGNC Symbol;Acc:HGNC:13499]	ZNF260
MIR200C and MIR141 host gene [Source:HGNC Symbol;Acc:HGNC:53161]	MIR200CHG
microRNA 200c [Source:HGNC Symbol;Acc:HGNC:31580]	MIR200C
microRNA 141 [Source:HGNC Symbol;Acc:HGNC:31528]	MIR141
novel transcript, antisense to PHB2	
small Cajal body-specific RNA 12 [Source:HGNC Symbol;Acc:HGNC:32569]	SCARNA12
EMG1 N1-specific pseudouridine methyltransferase [Source:HGNC Symbol;Acc:HGNC:16912]	EMG1
beta-1,4-N-acetyl-galactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:24136]	B4GALNT2
transcriptional repressor GATA binding 1 [Source:HGNC Symbol;Acc:HGNC:12340]	TRPS1
novel transcript, antisense to ZNF260	
zinc finger protein 529 [Source:HGNC Symbol;Acc:HGNC:29328]	ZNF529
cytochrome c oxidase subunit 6A2 [Source:HGNC Symbol;Acc:HGNC:2279]	COX6A2
novel transcript, antisense to COX6A2	
MECOM antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40368]	MECOM-AS1
nucleosome assembly protein 1-like 5 (NAP1L5) pseudogene	
ribosomal protein L7a pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:36857]	RPL7AP31
ribosomal protein L6 pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:36343]	RPL6P24
zinc finger protein 843 [Source:HGNC Symbol;Acc:HGNC:28710]	ZNF843
phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]	PPAT
novel transcript, antisense to ARMC5	
NUT family member 2F [Source:HGNC Symbol;Acc:HGNC:23450]	NUTM2F
novel transcript, antisense to SMARCA4	
RNA, 7SL, cytoplasmic 192, pseudogene [Source:HGNC Symbol;Acc:HGNC:46208]	RN7SL192P
armadillo repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:25781]	ARMC5
armadillo repeat containing 8 [Source:HGNC Symbol;Acc:HGNC:24999]	ARMC8
low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	LDLR
transmembrane protein 132E [Source:HGNC Symbol;Acc:HGNC:26991]	TMEM132E
triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	TPI1
ribosomal protein L35A (RPL35A) pseudogene	
nuclear factor I B [Source:HGNC Symbol;Acc:HGNC:7785]	NFIB
DEF6 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:2760]	DEF6
ribonuclease H2 subunit C [Source:HGNC Symbol;Acc:HGNC:24116]	RNASEH2C
tripartite motif containing 4 [Source:HGNC Symbol;Acc:HGNC:16275]	TRIM4
interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]	IFI35
novel Myb/SANT-like DNA-binding domain containing pseudogene	
transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767]	TGFB1I1
C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	CXCL2
peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]	PPARD
novel transcript, antisense to MTHFD2L	
epithelial mitogen [Source:HGNC Symbol;Acc:HGNC:17470]	EPGN
novel transcript, antisense to FRMD4A	
RNA, 5S ribosomal pseudogene 301 [Source:HGNC Symbol;Acc:HGNC:43201]	RNA5SP301
keratin 8 pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:33378]	KRT8P26
protein phosphatase 3 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9316]	PPP3CC
carboxypeptidase A5 [Source:HGNC Symbol;Acc:HGNC:15722]	CPA5
adaptor related protein complex 5 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:25104]	AP5B1
acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	ACSL5
ovo like transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:8525]	OVOL1
gastrulation brain homeobox 2 [Source:HGNC Symbol;Acc:HGNC:4186]	GBX2
OVOL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49319]	OVOL1-AS1
transmembrane protein 11 [Source:HGNC Symbol;Acc:HGNC:16823]	TMEM11
glutathione S-transferase mu 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38006]	GSTM3P2
ataxin 2 [Source:HGNC Symbol;Acc:HGNC:10555]	ATXN2
cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]	CFL1
tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	TFPI
makorin ring finger protein 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:7118]	MKRN6P
FA complementation group E [Source:HGNC Symbol;Acc:HGNC:3586]	FANCE
ribosomal protein L10a [Source:HGNC Symbol;Acc:HGNC:10299]	RPL10A
hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	HADH
microRNA 7111 [Source:HGNC Symbol;Acc:HGNC:50073]	MIR7111
TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716]	TEAD3
sorting nexin 32 [Source:HGNC Symbol;Acc:HGNC:26423]	SNX32
novel transcript, antisense to OXCT1	
RNA, U6 small nuclear 667, pseudogene [Source:HGNC Symbol;Acc:HGNC:47630]	RNU6-667P
methenyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:HGNC:7437]	MTHFS
long intergenic non-protein coding RNA 2143 [Source:HGNC Symbol;Acc:HGNC:53003]	LINC02143
ribosomal protein L19 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:36539]	RPL19P4
DnaJ (Hsp40) homolog, subfamily C, member 24 (DNAJC24) pseudogene	
AT-hook containing transcription factor 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:24620]	AHCTF1P1
NudC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30535]	NUDCD2
G protein-coupled receptor 39 [Source:HGNC Symbol;Acc:HGNC:4496]	GPR39
Kruppel like factor 14 [Source:HGNC Symbol;Acc:HGNC:23025]	KLF14
KLF7 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41355]	KLF7-IT1
potassium channel tetramerization domain containing 7 [Source:HGNC Symbol;Acc:HGNC:21957]	KCTD7
BCL2 family apoptosis regulator BOK [Source:HGNC Symbol;Acc:HGNC:1087]	BOK
NDST1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52899]	NDST1-AS1
ST20-MTHFS readthrough [Source:HGNC Symbol;Acc:HGNC:44655]	ST20-MTHFS
teneurin transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:29943]	TENM2
farnesyltransferase, CAAX box, alpha [Source:HGNC Symbol;Acc:HGNC:3782]	FNTA
novel transcript, sense intronic to ST20-MTHFSand MTHFS	
suppressor of tumorigenicity 20 [Source:HGNC Symbol;Acc:HGNC:33520]	ST20
Wolf-Hirschhorn syndrome candidate 1 (WHSC1) pseudogene	
long intergenic non-protein coding RNA 1117 [Source:HGNC Symbol;Acc:HGNC:49260]	LINC01117
MUS81 structure-specific endonuclease subunit [Source:HGNC Symbol;Acc:HGNC:29814]	MUS81
B-cell leukemia/lymphoma 2 related protein A1b (Bcl2a1b) pseudogene	
novel transcript, sense intronic to ST20	
ST20 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27521]	ST20-AS1
cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	CTLA4
SLAIN motif family member 2 (SLAIN2) pseudogene	
TUB like protein 1 [Source:HGNC Symbol;Acc:HGNC:12423]	TULP1
farnesyl diphosphate synthase (FDRS) pseudogene	
ribonucleotide reductase M2 (RRM2) pseudogene	
basic helix-loop-helix family member a15 [Source:HGNC Symbol;Acc:HGNC:22265]	BHLHA15
zinc finger AN1-type containing 6 [Source:HGNC Symbol;Acc:HGNC:30164]	ZFAND6
microRNA 6886 [Source:HGNC Symbol;Acc:HGNC:50121]	MIR6886
olfactory receptor family 7 subfamily A member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:8370]	OR7A2P
microRNA 6796 [Source:HGNC Symbol;Acc:HGNC:50186]	MIR6796
homeodomain interacting protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:19007]	HIPK4
SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]	SERTAD1
microRNA 107 [Source:HGNC Symbol;Acc:HGNC:31496]	MIR107
coiled-coil domain containing 115 [Source:HGNC Symbol;Acc:HGNC:28178]	CCDC115
SERTA domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17931]	SERTAD3
RNA, U1 small nuclear 124, pseudogene [Source:HGNC Symbol;Acc:HGNC:48466]	RNU1-124P
microRNA 5100 [Source:HGNC Symbol;Acc:HGNC:43540]	MIR5100
Family with sequence similarity 9, member C (FAM9C) pseudogene	
long intergenic non-protein coding RNA 2623 [Source:HGNC Symbol;Acc:HGNC:54101]	LINC02623
long intergenic non-protein coding RNA 1264 [Source:HGNC Symbol;Acc:HGNC:50282]	LINC01264
heparan-alpha-glucosaminide N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:26527]	HGSNAT
SERTAD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55281]	SERTAD3-AS1
leucyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6512]	LARS1
ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	RET
pregnancy specific beta-1-glycoprotein 6 [Source:HGNC Symbol;Acc:HGNC:9523]	PSG6
MXRA7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54643]	MXRA7P1
ribosomal protein L17 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:35806]	RPL17P14
solute carrier family 5 member 2 [Source:HGNC Symbol;Acc:HGNC:11037]	SLC5A2
solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	SLC25A12
IZUMO family member 4 [Source:HGNC Symbol;Acc:HGNC:26950]	IZUMO4
SDAD1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41106]	SDAD1-AS1
C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	CXCL9
cathepsin W [Source:HGNC Symbol;Acc:HGNC:2546]	CTSW
CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated [Source:HGNC Symbol;Acc:HGNC:21717]	CCZ1B
ADP-ribosyltransferase 3 (inactive) [Source:HGNC Symbol;Acc:HGNC:725]	ART3
ribosomal protein S15A (RPS15A) pseudogene	
novel transcript, antisense to FKBP5	
microRNA 5690 [Source:HGNC Symbol;Acc:HGNC:43490]	MIR5690
radial spoke head 3 [Source:HGNC Symbol;Acc:HGNC:21054]	RSPH3
vomeronasal 1 receptor 46 pseudogene [Source:HGNC Symbol;Acc:HGNC:37366]	VN1R46P
chromosome 9 open reading frame 122 (C9orf122) pseudogene	
Ankyrin repeat domain-containing protein (ANKRD) pseudogene	
T cell activation RhoGTPase activating protein [Source:HGNC Symbol;Acc:HGNC:15669]	TAGAP
ankyrin repeat domain (ANKRD) pseudogene	
coiled-coil domain containing 144 (CCDC144) pseudogene	
AFG3L2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:24169]	AFG3L2P1
spermatogenesis associated 5-like 1 (SPATA5L1) pseudogene	
RUS family member 1 [Source:HGNC Symbol;Acc:HGNC:25848]	RUSF1
S-phase response (cyclin related) (SPHAR) pseudogene	
POTE ankyrin domain family member A [Source:HGNC Symbol;Acc:HGNC:33893]	POTEA
novel transcript, antisense to GPR55	
failed axon connections homolog, metaxin like GST domain containing [Source:HGNC Symbol;Acc:HGNC:20742]	FAXC
ribulose-5-phosphate-3-epimerase [Source:HGNC Symbol;Acc:HGNC:10293]	RPE
TUBB4B pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:42333]	TUBB4BP4
ribosomal protein L7a pseudogene 57 [Source:HGNC Symbol;Acc:HGNC:36551]	RPL7AP57
coenzyme Q3, methyltransferase [Source:HGNC Symbol;Acc:HGNC:18175]	COQ3
RPS3A pseudogene 42 [Source:HGNC Symbol;Acc:HGNC:35605]	RPS3AP42
monocyte to macrophage differentiation associated 2 [Source:HGNC Symbol;Acc:HGNC:30133]	MMD2
long intergenic non-protein coding RNA 2746 [Source:HGNC Symbol;Acc:HGNC:54264]	LINC02746
PNN interacting serine and arginine rich protein [Source:HGNC Symbol;Acc:HGNC:21222]	PNISR
small nuclear ribonucleoprotein polypeptide G pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:49373]	SNRPGP16
RNA, U6 small nuclear 104, pseudogene [Source:HGNC Symbol;Acc:HGNC:47067]	RNU6-104P
POTE ankyrin domain family, member A (POTEA) pseudogene	
RAB5C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9785]	RAB5C
melatonin receptor 1B [Source:HGNC Symbol;Acc:HGNC:7464]	MTNR1B
pancreatic progenitor cell differentiation and proliferation factor like [Source:HGNC Symbol;Acc:HGNC:31745]	PPDPFL
CSGALNACT2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55174]	CSGALNACT2-DT
ribosomal protein L26 pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:36907]	RPL26P31
chondroitin sulfate N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:24292]	CSGALNACT2
syncollin [Source:HGNC Symbol;Acc:HGNC:18442]	SYCN
solute carrier family 36 member 4 [Source:HGNC Symbol;Acc:HGNC:19660]	SLC36A4
C-type lectin domain containing 17A [Source:HGNC Symbol;Acc:HGNC:34520]	CLEC17A
lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	LPAR1
RasGEF domain family member 1A [Source:HGNC Symbol;Acc:HGNC:24246]	RASGEF1A
Rap guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:16862]	RAPGEF5
ubiquitin specific peptidase 45 [Source:HGNC Symbol;Acc:HGNC:20080]	USP45
novel transcript, antisense to SLC5A2	
novel transcript, antisense to C16orf58	
alpha hemoglobin stabilizing protein [Source:HGNC Symbol;Acc:HGNC:18075]	AHSP
cystinosin, lysosomal cystine transporter [Source:HGNC Symbol;Acc:HGNC:2518]	CTNS
long intergenic non-protein coding RNA 2633 [Source:HGNC Symbol;Acc:HGNC:54116]	LINC02633
RNA, U6atac small nuclear 11, pseudogene [Source:HGNC Symbol;Acc:HGNC:46910]	RNU6ATAC11P
ribosomal protein L5 pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:36247]	RPL5P26
sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15985]	SVEP1
long intergenic non-protein coding RNA 2190 [Source:HGNC Symbol;Acc:HGNC:53052]	LINC02190
aminoacyl tRNA synthetase complex-interacting multifunctional protein 2 (AIMP2) pseudogene	
C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	CXCL10
collagen type XIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2190]	COL13A1
chromosome 14 open reading frame 2 (C14orf2) pseudogene	
vomeronasal 1 receptor 64 pseudogene [Source:HGNC Symbol;Acc:HGNC:37384]	VN1R64P
vomeronasal 1 receptor 65 pseudogene [Source:HGNC Symbol;Acc:HGNC:37385]	VN1R65P
FAT atypical cadherin 3 [Source:HGNC Symbol;Acc:HGNC:23112]	FAT3
FSHD region gene 2 family member K, pseudogene [Source:HGNC Symbol;Acc:HGNC:51797]	FRG2KP
TEA domain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11715]	TEAD2
C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	CXCL11
Y-box binding protein 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:2429]	YBX3P1
zinc finger protein 720 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:34505]	ZNF720P1
vomeronasal 1 receptor 66 pseudogene [Source:HGNC Symbol;Acc:HGNC:37386]	VN1R66P
CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:HGNC:1769]	CDIPT
RNA, 5S ribosomal pseudogene 227 [Source:HGNC Symbol;Acc:HGNC:43127]	RNA5SP227
eukaryotic translation elongation factor 1 alpha 1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:3201]	EEF1A1P6
novel transcript, antisense to STEAP1B	
IL6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40301]	IL6-AS1
nucleoporin 54 [Source:HGNC Symbol;Acc:HGNC:17359]	NUP54
interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	IL6
protein O-mannose kinase [Source:HGNC Symbol;Acc:HGNC:26267]	POMK
netrin G2 [Source:HGNC Symbol;Acc:HGNC:14288]	NTNG2
matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	MMP1
homeobox B13 [Source:HGNC Symbol;Acc:HGNC:5112]	HOXB13
ribosomal protein L12 pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:35970]	RPL12P30
metallophosphoesterase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1180]	MPPED2
CMT1A duplicated region transcript 1 [Source:HGNC Symbol;Acc:HGNC:14379]	CDRT1
muscle associated receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7525]	MUSK
MCUR1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:53756]	MCUR1P2
MT-CYB pseudogene 42 [Source:HGNC Symbol;Acc:HGNC:52310]	MTCYBP42
solute carrier family 40 (iron-regulated transporter), member 1 (SLC40A1) pseudogene	
ATPase Na+/K+ transporting subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:806]	ATP1B3
small nucleolar RNA, C/D box 93 [Source:HGNC Symbol;Acc:HGNC:32755]	SNORD93
ribosomal protein L12 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:22583]	RPL12P10
BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	BCL2A1
acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	ACHE
RPS3A pseudogene 41 [Source:HGNC Symbol;Acc:HGNC:37000]	RPS3AP41
ALG1 like 9, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:285407]	ALG1L9P
PHD finger protein 20 like 1 [Source:HGNC Symbol;Acc:HGNC:24280]	PHF20L1
novel transcript, antisense to ANKDD1A	
neurexophilin 3 [Source:HGNC Symbol;Acc:HGNC:8077]	NXPH3
small nuclear ribonucleoprotein polypeptide C pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:49829]	SNRPCP14
SPG21 abhydrolase domain containing, maspardin [Source:HGNC Symbol;Acc:HGNC:20373]	SPG21
ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:48691]	ENPP7P8
cyclin dependent kinase 12 [Source:HGNC Symbol;Acc:HGNC:24224]	CDK12
prostate and testis expressed 1 [Source:HGNC Symbol;Acc:HGNC:24664]	PATE1
prostate and testis expressed 2 [Source:HGNC Symbol;Acc:HGNC:32249]	PATE2
STAG1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55350]	STAG1-DT
MT-ND4 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:42204]	MTND4P17
succinate dehydrogenase complex subunit D pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:10686]	SDHDP3
novel transcript, antisense to CDIPT	
prostate and testis expressed 3 [Source:HGNC Symbol;Acc:HGNC:35426]	PATE3
CDIP transferase opposite strand, pseudogene [Source:HGNC Symbol;Acc:HGNC:48609]	CDIPTOSP
G elongation factor mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:13780]	GFM1
prostate and testis expressed 4 [Source:HGNC Symbol;Acc:HGNC:35427]	PATE4
chromosome 18 open reading frame 25 (C18orf25) pseudogene	
nucleoporin 214 [Source:HGNC Symbol;Acc:HGNC:8064]	NUP214
cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557]	CUX1
thiosulfate sulfurtransferase like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:40910]	TSTD3
ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]	AGAP1
family with sequence similarity 47 member E [Source:HGNC Symbol;Acc:HGNC:34343]	FAM47E
HYLS1 centriolar and ciliogenesis associated [Source:HGNC Symbol;Acc:HGNC:26558]	HYLS1
aspartate beta-hydroxylase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27380]	ASPHD1
NEXN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:31983]	NEXN-AS1
cyclin C [Source:HGNC Symbol;Acc:HGNC:1581]	CCNC
sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) (SPR) pseudogene	
pseudouridine synthase 3 [Source:HGNC Symbol;Acc:HGNC:25461]	PUS3
novel transcript, antisense to TTC22	
neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]	NEGR1
novel transcript, antisense to DDX25	
dynein axonemal assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:30492]	DNAAF3
DEAD-box helicase 25 [Source:HGNC Symbol;Acc:HGNC:18698]	DDX25
novel transcript, antisense to STBD1and FAM47E	
ribosomal protein L36a pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:36175]	RPL36AP10
long intergenic non-protein coding RNA 1712 [Source:HGNC Symbol;Acc:HGNC:52499]	LINC01712
FAM47E-STBD1 readthrough [Source:HGNC Symbol;Acc:HGNC:44667]	FAM47E-STBD1
pyridoxamine 5'-phosphate oxidase [Source:HGNC Symbol;Acc:HGNC:30260]	PNPO
fatty acid amide hydrolase [Source:HGNC Symbol;Acc:HGNC:3553]	FAAH
starch binding domain 1 [Source:HGNC Symbol;Acc:HGNC:24854]	STBD1
potassium channel tetramerization domain containing 13 [Source:HGNC Symbol;Acc:HGNC:22234]	KCTD13
sorting nexin 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:41512]	SNX5P1
RNA, U6 small nuclear 1000, pseudogene [Source:HGNC Symbol;Acc:HGNC:47963]	RNU6-1000P
ribosomal protein L36a pseudogene 18	
scavenger receptor class B member 2 [Source:HGNC Symbol;Acc:HGNC:1665]	SCARB2
transmembrane protein 212 [Source:HGNC Symbol;Acc:HGNC:34295]	TMEM212
ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:3357]	ENPP2
glutamate rich 6 [Source:HGNC Symbol;Acc:HGNC:28602]	ERICH6
kynurenine aminotransferase 3 [Source:HGNC Symbol;Acc:HGNC:33238]	KYAT3
mitochondrial methionyl-tRNA formyltransferase [Source:HGNC Symbol;Acc:HGNC:29666]	MTFMT
ethanolamine kinase 1 [Source:HGNC Symbol;Acc:HGNC:24649]	ETNK1
novel transcript, sense intronic to KCTD13	
KCTD13 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55585]	KCTD13-DT
adaptor related protein complex 3 subunit delta 1 [Source:HGNC Symbol;Acc:HGNC:568]	AP3D1
aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	ALDOA
guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	GMPS
solute carrier family 51 subunit beta [Source:HGNC Symbol;Acc:HGNC:29956]	SLC51B
transmembrane protein 141 (TMEM141) pseudogene	
nucleosome assembly protein 1 like 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38004]	NAP1L1P1
RNA, 7SL, cytoplasmic 734, pseudogene [Source:HGNC Symbol;Acc:HGNC:46750]	RN7SL734P
cytochrome b5 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28471]	CYB5D2
NOP10 ribonucleoprotein homolog (yeast) (NOP10) pseudogene	
novel transcript, antisense to SLC51B	
PHLDA1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55461]	PHLDA1-AS1
EA domain family member 1 (SV40 transcriptional enhancer factor) (TEAD1)	
PHLDA1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55470]	PHLDA1-DT
RAS like family 12 [Source:HGNC Symbol;Acc:HGNC:30289]	RASL12
RNA pseudouridine synthase D4 [Source:HGNC Symbol;Acc:HGNC:25898]	RPUSD4
shisa like 2A [Source:HGNC Symbol;Acc:HGNC:28757]	SHISAL2A
adenosylhomocysteinase pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:44997]	AHCYP5
nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	NAP1L1
pseudogene similar to part of phospholipase C, gamma 1 PLCG1	
high mobility group box 1 pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:39100]	HMGB1P18
5'-nucleotidase domain containing 2 (NT5DC2) pseudogene	
CLCA4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54055]	CLCA4-AS1
novel transcript, LRRC8C-LRRC8D readthrough	
transient receptor potential cation channel subfamily V member 3 [Source:HGNC Symbol;Acc:HGNC:18084]	TRPV3
deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]	DNTTIP2
programmed cell death 7 [Source:HGNC Symbol;Acc:HGNC:8767]	PDCD7
oxysterol binding protein like 6 [Source:HGNC Symbol;Acc:HGNC:16388]	OSBPL6
peptidylprolyl isomerase A pseudogene 74 [Source:HGNC Symbol;Acc:HGNC:53698]	PPIAP74
