SYMBOL	DESCRIPTION
C19orf18	Chromosome 19 open reading frame 18
KDM4A	Lysine demethylase 4A
SEPTIN8	Septin 8
MIR4750	MicroRNA 4750
IL4I1	Interleukin 4 induced 1
RN7SL733P	RNA, 7SL, cytoplasmic 733, pseudogene
TNFSF10	TNF superfamily member 10
RAB18	RAB18, member RAS oncogene family
MIR6773	MicroRNA 6773
RN7SL353P	RNA, 7SL, cytoplasmic 353, pseudogene
TUBB2B	Tubulin beta 2B class IIb
TTLL7-IT1	TTLL7 intronic transcript 1
PLA2G15	Phospholipase A2 group XV
NEGR1-IT1	NEGR1 intronic transcript 1
CAPNS1P1	Calpain small subunit 1 pseudogene 1
LINC02777	Long intergenic non-protein coding RNA 2777
PSMG4	Proteasome assembly chaperone 4
LINC01192	Long intergenic non-protein coding RNA 1192
GPR162	G protein-coupled receptor 162
LDC1P	Leucine decarboxylase 1, pseudogene
NDRG1	N-myc downstream regulated 1
CRYGA	Crystallin gamma A
MTND4LP14	MT-ND4L pseudogene 14
LINC01827	Long intergenic non-protein coding RNA 1827
ZNHIT6	Zinc finger HIT-type containing 6
SLC22A23	Solute carrier family 22 member 23
CRLF3P1	CRLF3 pseudogene 1
TECTA	Tectorin alpha
GPC1	Glypican 1
MGC27382	Uncharacterized MGC27382
SLC7A6	Solute carrier family 7 member 6
P3H3	Prolyl 3-hydroxylase 3
MIR4751	MicroRNA 4751
SIGLEC11	Sialic acid binding Ig like lectin 11
MROH7	Maestro heat like repeat family member 7
KIAA1549L	KIAA1549 like
KCNH7-AS1	KCNH7 antisense RNA 1
SNX19	Sorting nexin 19
VRK3	VRK serine/threonine kinase 3
ADGRA1	Adhesion G protein-coupled receptor A1
ITM2C	Integral membrane protein 2C
NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8
GPAM	Glycerol-3-phosphate acyltransferase, mitochondrial
SLC38A10	Solute carrier family 38 member 10
LINC01326	Long intergenic non-protein coding RNA 1326
MTND3P7	MT-ND3 pseudogene 7
NPM1P29	Nucleophosmin 1 pseudogene 29
RPL23AP40	Ribosomal protein L23a pseudogene 40
PHC3	Polyhomeotic homolog 3
GNB3	G protein subunit beta 3
TUBB2A	Tubulin beta 2A class IIa
GUCA1ANB	GUCA1A neighbor
RNU6-1262P	RNA, U6 small nuclear 1262, pseudogene
SLC7A6OS	Solute carrier family 7 member 6 opposite strand
MYOZ3-AS1	MYOZ3 antisense RNA 1
COL12A1	Collagen type XII alpha 1 chain
FAM168A	Family with sequence similarity 168 member A
CPEB4	Cytoplasmic polyadenylation element binding protein 4
RNU4-30P	RNA, U4 small nuclear 30, pseudogene
SMPD3	Sphingomyelin phosphodiesterase 3
TMEM105	TMEM105 long non-coding RNA
PSMB3P2	Proteasome subunit beta 3 pseudogene 2
RPL7L1P10	Ribosomal protein L7 like 1 pseudogene 10
RENO1	Regulator of early neurogenesis 1
MIR4740	MicroRNA 4740
TECTB	Tectorin beta
MIR3186	MicroRNA 3186
LINC01971	Long intergenic non-protein coding RNA 1971
CYP2R1	Cytochrome P450 family 2 subfamily R member 1
TLK1	Tousled like kinase 1
FAAP100	FA core complex associated protein 100
MIR6715B	MicroRNA 6715b
MIR6715A	MicroRNA 6715a
GUCY2GP	Guanylate cyclase 2G, pseudogene
RNU7-151P	RNA, U7 small nuclear 151 pseudogene
CABP4	Calcium binding protein 4
USP38	Ubiquitin specific peptidase 38
RPL13P5	Ribosomal protein L13 pseudogene 5
TBC1D27P	TBC1 domain family member 27, pseudogene
RPL35AP33	Ribosomal protein L35a pseudogene 33
LRRC23	Leucine rich repeat containing 23
RNU4-36P	RNA, U4 small nuclear 36, pseudogene
ZEB1	Zinc finger E-box binding homeobox 1
NCAM1	Neural cell adhesion molecule 1
TNFRSF13B	TNF receptor superfamily member 13B
MLYCD	Malonyl-CoA decarboxylase
LINC01763	Long intergenic non-protein coding RNA 1763
PTGFR	Prostaglandin F receptor
CDH24	Cadherin 24
LINC02801	Long intergenic non-protein coding RNA 2801
OSGIN1	Oxidative stress induced growth inhibitor 1
EEF1GP7	Eukaryotic translation elongation factor 1 gamma pseudogene 7
LMO4	LIM domain only 4
PXYLP1	2-phosphoxylose phosphatase 1
LINC02090	Long intergenic non-protein coding RNA 2090
FAM151B-DT	FAM151B divergent transcript
MPRIP-AS1	MPRIP antisense RNA 1
MIR3139	MicroRNA 3139
RNU6-767P	RNA, U6 small nuclear 767, pseudogene
RN7SL775P	RNA, 7SL, cytoplasmic 775, pseudogene
JAKMIP1-DT	JAKMIP1 divergent transcript
PLD6	Phospholipase D family member 6
LINC01863	Long intergenic non-protein coding RNA 1863
NDST1	N-deacetylase and N-sulfotransferase 1
PRPF38A	Pre-mRNA processing factor 38A
FLCN	Folliculin
MBIP	MAP3K12 binding inhibitory protein 1
SETD7	SET domain containing 7, histone lysine methyltransferase
RNA5SP432	RNA, 5S ribosomal pseudogene 432
MBTPS1-DT	MBTPS1 divergent transcript
HSDL1	Hydroxysteroid dehydrogenase like 1
SYDE2	Synapse defective Rho GTPase homolog 2
PIGK	Phosphatidylinositol glycan anchor biosynthesis class K
ACTG1P24	Actin gamma 1 pseudogene 24
FTH1P24	Ferritin heavy chain 1 pseudogene 24
PIGFP1	Phosphatidylinositol glycan anchor biosynthesis class F pseudogene 1
DSTNP2	DSTN pseudogene 2
RPS3AP22	RPS3A pseudogene 22
COPS3	COP9 signalosome subunit 3
CEP19P1	CEP19 pseudogene 1
MGST2	Microsomal glutathione S-transferase 2
CRYGB	Crystallin gamma B
RNF130	Ring finger protein 130
DNAAF1	Dynein axonemal assembly factor 1
ENO2	Enolase 2
OR7E89P	Olfactory receptor family 7 subfamily E member 89 pseudogene
LINC01963	Long intergenic non-protein coding RNA 1963
TERF1P6	TERF1 pseudogene 6
WNT6	Wnt family member 6
HNRNPA3P12	Heterogeneous nuclear ribonucleoprotein A3 pseudogene 12
ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
SLC35G2	Solute carrier family 35 member G2
ARL6IP1P2	ADP ribosylation factor like GTPase 6 interacting protein 1 pseudogene 2
RNU6-811P	RNA, U6 small nuclear 811, pseudogene
ATXN3	Ataxin 3
RN7SKP237	RN7SK pseudogene 237
LINC00993	Long intergenic non-protein coding RNA 993
H3P16	H3 histone pseudogene 16
PGBD4P8	PiggyBac transposable element derived 4 pseudogene 8
SORCS2	Sortilin related VPS10 domain containing receptor 2
MTND2P30	MT-ND2 pseudogene 30
RPL7P10	Ribosomal protein L7 pseudogene 10
ADAD2	Adenosine deaminase domain containing 2
LXN	Latexin
KLF7	Kruppel like factor 7
ABCB8	ATP binding cassette subfamily B member 8
PKN2-AS1	PKN2 antisense RNA 1
RN7SL314P	RNA, 7SL, cytoplasmic 314, pseudogene
TMEM161BP1	Transmembrane protein 161B pseudogene 1
VN1R53P	Vomeronasal 1 receptor 53 pseudogene
TUBGCP2	Tubulin gamma complex associated protein 2
ZNF473	Zinc finger protein 473
LINC02792	Long intergenic non-protein coding RNA 2792
GUCA2A	Guanylate cyclase activator 2A
LARP7P4	LARP7 pseudogene 4
FNDC3B	Fibronectin type III domain containing 3B
AIMP1	Aminoacyl tRNA synthetase complex interacting multifunctional protein 1
USP24	Ubiquitin specific peptidase 24
KIAA2012	KIAA2012
TIMD4	T cell immunoglobulin and mucin domain containing 4
SLC38A8	Solute carrier family 38 member 8
ITGAM	Integrin subunit alpha M
RPL7P61	Ribosomal protein L7 pseudogene 61
SETP22	SET pseudogene 22
CA1	Carbonic anhydrase 1
SQSTM1	Sequestosome 1
SIGLEC16	Sialic acid binding Ig like lectin 16
CDK8P2	Cyclin dependent kinase 8 pseudogene 2
VEGFB	Vascular endothelial growth factor B
ASPDH	Aspartate dehydrogenase domain containing
MTERF4	Mitochondrial transcription termination factor 4
LINC02705	Long intergenic non-protein coding RNA 2705
ATN1	Atrophin 1
MIR6503	MicroRNA 6503
MS4A12	Membrane spanning 4-domains A12
LRRC4B	Leucine rich repeat containing 4B
ZDHHC6	Zinc finger DHHC-type palmitoyltransferase 6
MS4A13	Membrane spanning 4-domains A13
SYT3	Synaptotagmin 3
SLC25A6P3	Solute carrier family 25 member 6 pseudogene 3
PSAT1P3	Phosphoserine aminotransferase 1 pseudogene 3
C12orf57	Chromosome 12 open reading frame 57
NT5M	5',3'-nucleotidase, mitochondrial
GAPVD1	GTPase activating protein and VPS9 domains 1
MS4A4A	Membrane spanning 4-domains A4A
EEF1B2P8	Eukaryotic translation elongation factor 1 beta 2 pseudogene 8
RPS17P8	Ribosomal protein S17 pseudogene 8
KRT18P34	Keratin 18 pseudogene 34
C19orf81	Chromosome 19 open reading frame 81
LINC01324	Long intergenic non-protein coding RNA 1324
GPR55	G protein-coupled receptor 55
DOCK7	Dedicator of cytokinesis 7
RNU7-1	RNA, U7 small nuclear 1
RPL13P12	Ribosomal protein L13 pseudogene 12
RNA5SP161	RNA, 5S ribosomal pseudogene 161
TSEN15P1	TRNA splicing endonuclease subunit 15 pseudogene 1
RNU6-197P	RNA, U6 small nuclear 197, pseudogene
SI	Sucrase-isomaltase
ZNF454-DT	ZNF454 divergent transcript
MRPL22P1	Mitochondrial ribosomal protein L22 pseudogene 1
MED9	Mediator complex subunit 9
GPR32P1	GPR32 pseudogene 1
PTPN6	Protein tyrosine phosphatase non-receptor type 6
PCYOX1L	Prenylcysteine oxidase 1 like
GPR32	G protein-coupled receptor 32
AASDH	Aminoadipate-semialdehyde dehydrogenase
ACP4	Acid phosphatase 4
RASD1	Ras related dexamethasone induced 1
CPS1-IT1	CPS1 intronic transcript 1
SNORD88B	Small nucleolar RNA, C/D box 88B
SNORD88A	Small nucleolar RNA, C/D box 88A
FABP5P10	Fatty acid binding protein 5 pseudogene 10
SNORD88C	Small nucleolar RNA, C/D box 88C
LINC01869	Long intergenic non-protein coding RNA 1869
ITGB3	Integrin subunit beta 3
SLC39A10	Solute carrier family 39 member 10
KLK1	Kallikrein 1
RABGEF1	RAB guanine nucleotide exchange factor 1
CEP57L1P1	Centrosomal protein 57 like 1 pseudogene 1
TMEM30A	Transmembrane protein 30A
EIF4EBP2	Eukaryotic translation initiation factor 4E binding protein 2
INSYN2B	Inhibitory synaptic factor family member 2B
NODAL	Nodal growth differentiation factor
SPOCK1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1
KLK15	Kallikrein related peptidase 15
ITGAX	Integrin subunit alpha X
YY1P1	YY1 transcription factor pseudogene 1
MMP10	Matrix metallopeptidase 10
EBF3	EBF transcription factor 3
OXCT1-AS1	OXCT1 antisense RNA 1
LINC02234	Long intergenic non-protein coding RNA 2234
RPL27	Ribosomal protein L27
IL4	Interleukin 4
KAT5	Lysine acetyltransferase 5
UCA1	Urothelial cancer associated 1
POLR1B	RNA polymerase I subunit B
C10orf143	Chromosome 10 open reading frame 143
CTAGE7P	CTAGE family member 7, pseudogene
PPIAP32	Peptidylprolyl isomerase A pseudogene 32
CATSPER3	Cation channel sperm associated 3
GLRX3	Glutaredoxin 3
WRAP53	WD repeat containing antisense to TP53
HMGB1P39	High mobility group box 1 pseudogene 39
MIR4463	MicroRNA 4463
UBE2V1P15	UBE2V1 pseudogene 15
RNU1-34P	RNA, U1 small nuclear 34, pseudogene
SCUBE3	Signal peptide, CUB domain and EGF like domain containing 3
TAF11L13	TATA-box binding protein associated factor 11 like 13
GRIA1	Glutamate ionotropic receptor AMPA type subunit 1
CYP4F36P	Cytochrome P450 family 4 subfamily F member 36, pseudogene
ZNF861P	Zinc finger protein 861, pseudogene
ZNF76	Zinc finger protein 76
LINC01764	Long intergenic non-protein coding RNA 1764
PRPF18	Pre-mRNA processing factor 18
RPL22L1	Ribosomal protein L22 like 1
ITGAD	Integrin subunit alpha D
ZFP14	ZFP14 zinc finger protein
SMIM19	Small integral membrane protein 19
ZFP82	ZFP82 zinc finger protein
SPATA16	Spermatogenesis associated 16
STARD3NL	STARD3 N-terminal like
ZNF566-AS1	ZNF566 antisense RNA 1
CTBP2P7	CTBP2 pseudogene 7
ZNF260	Zinc finger protein 260
MIR200CHG	MIR200C and MIR141 host gene
MIR200C	MicroRNA 200c
MIR141	MicroRNA 141
SCARNA12	Small Cajal body-specific RNA 12
EMG1	EMG1 N1-specific pseudouridine methyltransferase
B4GALNT2	Beta-1,4-N-acetyl-galactosaminyltransferase 2
TRPS1	Transcriptional repressor GATA binding 1
ZNF529	Zinc finger protein 529
COX6A2	Cytochrome c oxidase subunit 6A2
MECOM-AS1	MECOM antisense RNA 1
RPL7AP31	Ribosomal protein L7a pseudogene 31
RPL6P24	Ribosomal protein L6 pseudogene 24
ZNF843	Zinc finger protein 843
PPAT	Phosphoribosyl pyrophosphate amidotransferase
NUTM2F	NUT family member 2F
RN7SL192P	RNA, 7SL, cytoplasmic 192, pseudogene
ARMC5	Armadillo repeat containing 5
ARMC8	Armadillo repeat containing 8
LDLR	Low density lipoprotein receptor
TMEM132E	Transmembrane protein 132E
TPI1	Triosephosphate isomerase 1
NFIB	Nuclear factor I B
DEF6	DEF6 guanine nucleotide exchange factor
RNASEH2C	Ribonuclease H2 subunit C
TRIM4	Tripartite motif containing 4
IFI35	Interferon induced protein 35
TGFB1I1	Transforming growth factor beta 1 induced transcript 1
CXCL2	C-X-C motif chemokine ligand 2
PPARD	Peroxisome proliferator activated receptor delta
EPGN	Epithelial mitogen
RNA5SP301	RNA, 5S ribosomal pseudogene 301
KRT8P26	Keratin 8 pseudogene 26
PPP3CC	Protein phosphatase 3 catalytic subunit gamma
CPA5	Carboxypeptidase A5
AP5B1	Adaptor related protein complex 5 subunit beta 1
ACSL5	Acyl-CoA synthetase long chain family member 5
OVOL1	Ovo like transcriptional repressor 1
GBX2	Gastrulation brain homeobox 2
OVOL1-AS1	OVOL1 antisense RNA 1
TMEM11	Transmembrane protein 11
GSTM3P2	Glutathione S-transferase mu 3 pseudogene 2
ATXN2	Ataxin 2
CFL1	Cofilin 1
TFPI	Tissue factor pathway inhibitor
MKRN6P	Makorin ring finger protein 6, pseudogene
FANCE	FA complementation group E
RPL10A	Ribosomal protein L10a
HADH	Hydroxyacyl-CoA dehydrogenase
MIR7111	MicroRNA 7111
TEAD3	TEA domain transcription factor 3
SNX32	Sorting nexin 32
RNU6-667P	RNA, U6 small nuclear 667, pseudogene
MTHFS	Methenyltetrahydrofolate synthetase
LINC02143	Long intergenic non-protein coding RNA 2143
RPL19P4	Ribosomal protein L19 pseudogene 4
AHCTF1P1	AT-hook containing transcription factor 1 pseudogene 1
NUDCD2	NudC domain containing 2
GPR39	G protein-coupled receptor 39
KLF14	Kruppel like factor 14
KLF7-IT1	KLF7 intronic transcript 1
KCTD7	Potassium channel tetramerization domain containing 7
BOK	BCL2 family apoptosis regulator BOK
NDST1-AS1	NDST1 antisense RNA 1
ST20-MTHFS	ST20-MTHFS readthrough
TENM2	Teneurin transmembrane protein 2
FNTA	Farnesyltransferase, CAAX box, alpha
ST20	Suppressor of tumorigenicity 20
LINC01117	Long intergenic non-protein coding RNA 1117
MUS81	MUS81 structure-specific endonuclease subunit
ST20-AS1	ST20 antisense RNA 1
CTLA4	Cytotoxic T-lymphocyte associated protein 4
TULP1	TUB like protein 1
BHLHA15	Basic helix-loop-helix family member a15
ZFAND6	Zinc finger AN1-type containing 6
MIR6886	MicroRNA 6886
OR7A2P	Olfactory receptor family 7 subfamily A member 2 pseudogene
MIR6796	MicroRNA 6796
HIPK4	Homeodomain interacting protein kinase 4
SERTAD1	SERTA domain containing 1
MIR107	MicroRNA 107
CCDC115	Coiled-coil domain containing 115
SERTAD3	SERTA domain containing 3
RNU1-124P	RNA, U1 small nuclear 124, pseudogene
MIR5100	MicroRNA 5100
LINC02623	Long intergenic non-protein coding RNA 2623
LINC01264	Long intergenic non-protein coding RNA 1264
HGSNAT	Heparan-alpha-glucosaminide N-acetyltransferase
SERTAD3-AS1	SERTAD3 antisense RNA 1
LARS1	Leucyl-tRNA synthetase 1
RET	Ret proto-oncogene
PSG6	Pregnancy specific beta-1-glycoprotein 6
MXRA7P1	MXRA7 pseudogene 1
RPL17P14	Ribosomal protein L17 pseudogene 14
SLC5A2	Solute carrier family 5 member 2
SLC25A12	Solute carrier family 25 member 12
IZUMO4	IZUMO family member 4
SDAD1-AS1	SDAD1 antisense RNA 1
CXCL9	C-X-C motif chemokine ligand 9
CTSW	Cathepsin W
CCZ1B	CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated
ART3	ADP-ribosyltransferase 3 (inactive)
MIR5690	MicroRNA 5690
RSPH3	Radial spoke head 3
VN1R46P	Vomeronasal 1 receptor 46 pseudogene
TAGAP	T cell activation RhoGTPase activating protein
AFG3L2P1	AFG3L2 pseudogene 1
RUSF1	RUS family member 1
POTEA	POTE ankyrin domain family member A
FAXC	Failed axon connections homolog, metaxin like GST domain containing
RPE	Ribulose-5-phosphate-3-epimerase
TUBB4BP4	TUBB4B pseudogene 4
RPL7AP57	Ribosomal protein L7a pseudogene 57
COQ3	Coenzyme Q3, methyltransferase
RPS3AP42	RPS3A pseudogene 42
MMD2	Monocyte to macrophage differentiation associated 2
LINC02746	Long intergenic non-protein coding RNA 2746
PNISR	PNN interacting serine and arginine rich protein
SNRPGP16	Small nuclear ribonucleoprotein polypeptide G pseudogene 16
RNU6-104P	RNA, U6 small nuclear 104, pseudogene
RAB5C	RAB5C, member RAS oncogene family
MTNR1B	Melatonin receptor 1B
PPDPFL	Pancreatic progenitor cell differentiation and proliferation factor like
CSGALNACT2-DT	CSGALNACT2 divergent transcript
RPL26P31	Ribosomal protein L26 pseudogene 31
CSGALNACT2	Chondroitin sulfate N-acetylgalactosaminyltransferase 2
SYCN	Syncollin
SLC36A4	Solute carrier family 36 member 4
CLEC17A	C-type lectin domain containing 17A
LPAR1	Lysophosphatidic acid receptor 1
RASGEF1A	RasGEF domain family member 1A
RAPGEF5	Rap guanine nucleotide exchange factor 5
USP45	Ubiquitin specific peptidase 45
AHSP	Alpha hemoglobin stabilizing protein
CTNS	Cystinosin, lysosomal cystine transporter
LINC02633	Long intergenic non-protein coding RNA 2633
RNU6ATAC11P	RNA, U6atac small nuclear 11, pseudogene
RPL5P26	Ribosomal protein L5 pseudogene 26
SVEP1	Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
LINC02190	Long intergenic non-protein coding RNA 2190
CXCL10	C-X-C motif chemokine ligand 10
COL13A1	Collagen type XIII alpha 1 chain
VN1R64P	Vomeronasal 1 receptor 64 pseudogene
VN1R65P	Vomeronasal 1 receptor 65 pseudogene
FAT3	FAT atypical cadherin 3
FRG2KP	FSHD region gene 2 family member K, pseudogene
TEAD2	TEA domain transcription factor 2
CXCL11	C-X-C motif chemokine ligand 11
YBX3P1	Y-box binding protein 3 pseudogene 1
ZNF720P1	Zinc finger protein 720 pseudogene 1
VN1R66P	Vomeronasal 1 receptor 66 pseudogene
CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
RNA5SP227	RNA, 5S ribosomal pseudogene 227
EEF1A1P6	Eukaryotic translation elongation factor 1 alpha 1 pseudogene 6
IL6-AS1	IL6 antisense RNA 1
NUP54	Nucleoporin 54
IL6	Interleukin 6
POMK	Protein O-mannose kinase
NTNG2	Netrin G2
MMP1	Matrix metallopeptidase 1
HOXB13	Homeobox B13
RPL12P30	Ribosomal protein L12 pseudogene 30
MPPED2	Metallophosphoesterase domain containing 2
CDRT1	CMT1A duplicated region transcript 1
MUSK	Muscle associated receptor tyrosine kinase
MCUR1P2	MCUR1 pseudogene 2
MTCYBP42	MT-CYB pseudogene 42
ATP1B3	ATPase Na+/K+ transporting subunit beta 3
SNORD93	Small nucleolar RNA, C/D box 93
RPL12P10	Ribosomal protein L12 pseudogene 10
BCL2A1	BCL2 related protein A1
ACHE	Acetylcholinesterase (Cartwright blood group)
RPS3AP41	RPS3A pseudogene 41
ALG1L9P	ALG1 like 9, pseudogene
PHF20L1	PHD finger protein 20 like 1
NXPH3	Neurexophilin 3
SNRPCP14	Small nuclear ribonucleoprotein polypeptide C pseudogene 14
SPG21	SPG21 abhydrolase domain containing, maspardin
ENPP7P8	Ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 8
CDK12	Cyclin dependent kinase 12
PATE1	Prostate and testis expressed 1
PATE2	Prostate and testis expressed 2
STAG1-DT	STAG1 divergent transcript
MTND4P17	MT-ND4 pseudogene 17
SDHDP3	Succinate dehydrogenase complex subunit D pseudogene 3
PATE3	Prostate and testis expressed 3
CDIPTOSP	CDIP transferase opposite strand, pseudogene
GFM1	G elongation factor mitochondrial 1
PATE4	Prostate and testis expressed 4
NUP214	Nucleoporin 214
CUX1	Cut like homeobox 1
TSTD3	Thiosulfate sulfurtransferase like domain containing 3
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
FAM47E	Family with sequence similarity 47 member E
HYLS1	HYLS1 centriolar and ciliogenesis associated
ASPHD1	Aspartate beta-hydroxylase domain containing 1
NEXN-AS1	NEXN antisense RNA 1
CCNC	Cyclin C
PUS3	Pseudouridine synthase 3
NEGR1	Neuronal growth regulator 1
DNAAF3	Dynein axonemal assembly factor 3
DDX25	DEAD-box helicase 25
RPL36AP10	Ribosomal protein L36a pseudogene 10
LINC01712	Long intergenic non-protein coding RNA 1712
FAM47E-STBD1	FAM47E-STBD1 readthrough
PNPO	Pyridoxamine 5'-phosphate oxidase
FAAH	Fatty acid amide hydrolase
STBD1	Starch binding domain 1
KCTD13	Potassium channel tetramerization domain containing 13
SNX5P1	Sorting nexin 5 pseudogene 1
RNU6-1000P	RNA, U6 small nuclear 1000, pseudogene
SCARB2	Scavenger receptor class B member 2
TMEM212	Transmembrane protein 212
ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2
ERICH6	Glutamate rich 6
KYAT3	Kynurenine aminotransferase 3
MTFMT	Mitochondrial methionyl-tRNA formyltransferase
ETNK1	Ethanolamine kinase 1
KCTD13-DT	KCTD13 divergent transcript
AP3D1	Adaptor related protein complex 3 subunit delta 1
ALDOA	Aldolase, fructose-bisphosphate A
GMPS	Guanine monophosphate synthase
SLC51B	Solute carrier family 51 subunit beta
NAP1L1P1	Nucleosome assembly protein 1 like 1 pseudogene 1
RN7SL734P	RNA, 7SL, cytoplasmic 734, pseudogene
CYB5D2	Cytochrome b5 domain containing 2
PHLDA1-AS1	PHLDA1 antisense RNA 1
PHLDA1-DT	PHLDA1 divergent transcript
RASL12	RAS like family 12
RPUSD4	RNA pseudouridine synthase D4
SHISAL2A	Shisa like 2A
AHCYP5	Adenosylhomocysteinase pseudogene 5
NAP1L1	Nucleosome assembly protein 1 like 1
HMGB1P18	High mobility group box 1 pseudogene 18
CLCA4-AS1	CLCA4 antisense RNA 1
TRPV3	Transient receptor potential cation channel subfamily V member 3
DNTTIP2	Deoxynucleotidyltransferase terminal interacting protein 2
PDCD7	Programmed cell death 7
OSBPL6	Oxysterol binding protein like 6
PPIAP74	Peptidylprolyl isomerase A pseudogene 74
RNU4-86P	RNA, U4 small nuclear 86, pseudogene
KRT18P35	Keratin 18 pseudogene 35
WEE1	WEE1 G2 checkpoint kinase
LINC02068	Long intergenic non-protein coding RNA 2068
NAALADL2-AS1	NAALADL2 antisense RNA 1
HMGN2P26	High mobility group nucleosomal binding domain 2 pseudogene 26
CLPX	Caseinolytic mitochondrial matrix peptidase chaperone subunit X
HNRNPA1P64	Heterogeneous nuclear ribonucleoprotein A1 pseudogene 64
ODF2L	Outer dense fiber of sperm tails 2 like
PRPF19-DT	PRPF19 divergent transcript
TMEM109-DT	TMEM109 divergent transcript
LINC01208	Long intergenic non-protein coding RNA 1208
TMEM109	Transmembrane protein 109
ANAPC15P2	ANAPC15 pseudogene 2
TMEM132A	Transmembrane protein 132A
SLC2A2	Solute carrier family 2 member 2
GUF1	GTP binding elongation factor GUF1
CD6	CD6 molecule
CILP	Cartilage intermediate layer protein
GNPDA2	Glucosamine-6-phosphate deaminase 2
TMED9	Transmembrane p24 trafficking protein 9
SLITRK3	SLIT and NTRK like family member 3
OR7E21P	Olfactory receptor family 7 subfamily E member 21 pseudogene
RNU6-686P	RNA, U6 small nuclear 686, pseudogene
SNORA24B	Small nucleolar RNA, H/ACA box 24B
RNU5A-1	RNA, U5A small nuclear 1
LINC02021	Long intergenic non-protein coding RNA 2021
MIR4508	MicroRNA 4508
RNU6-741P	RNA, U6 small nuclear 741, pseudogene
LINC00578	Long intergenic non-protein coding RNA 578
PAQR5-DT	PAQR5 divergent transcript
LETM2	Leucine zipper and EF-hand containing transmembrane protein 2
PDGFRL2P	Platelet derived growth factor receptor like 2, pseudogene
PAQR5	Progestin and adipoQ receptor family member 5
HSPA8P4	Heat shock protein family A (Hsp70) member 8 pseudogene 4
MTHFD2L	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like
KRT8P13	Keratin 8 pseudogene 13
LINC01997	Long intergenic non-protein coding RNA 1997
HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B
SLC25A36	Solute carrier family 25 member 36
KIF23-AS1	KIF23 and PAQR5 antisense RNA 1
JOSD2	Josephin domain containing 2
FCN1	Ficolin 1
RPLP1	Ribosomal protein lateral stalk subunit P1
MRPS34	Mitochondrial ribosomal protein S34
CERCAM	Cerebral endothelial cell adhesion molecule
PTPRF	Protein tyrosine phosphatase receptor type F
MEIOSIN	Meiosis initiator
RAX2	Retina and anterior neural fold homeobox 2
SPSB3	SplA/ryanodine receptor domain and SOCS box containing 3
ATP5PBP4	ATP synthase peripheral stalk-membrane subunit b pseudogene 4
ZNF724	Zinc finger protein 724
RNU6-933P	RNA, U6 small nuclear 933, pseudogene
LIN28AP1	LIN28A pseudogene 1
HNRNPCP2	Heterogeneous nuclear ribonucleoprotein C pseudogene 2
SLC15A3	Solute carrier family 15 member 3
SKIL	SKI like proto-oncogene
LANCL1	LanC like 1
LINC02896	Long intergenic non-protein coding RNA 2896
ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit
ANK2	Ankyrin 2
KIF23	Kinesin family member 23
SLC36A2	Solute carrier family 36 member 2
STEAP1B	STEAP family member 1B
OR7E117P	Olfactory receptor family 7 subfamily E member 117 pseudogene
ART5	ADP-ribosyltransferase 5
P2RY1	Purinergic receptor P2Y1
EEF1A1P25	Eukaryotic translation elongation factor 1 alpha 1 pseudogene 25
NAALADL2-AS3	NAALADL2 antisense RNA 3
RASGEF1C	RasGEF domain family member 1C
FER1L6	Fer-1 like family member 6
ART1	ADP-ribosyltransferase 1
SYPL1	Synaptophysin like 1
FXR1	FMR1 autosomal homolog 1
NUBP2	Nucleotide binding protein 2
CHRNA10	Cholinergic receptor nicotinic alpha 10 subunit
TCF24	Transcription factor 24
CSF3	Colony stimulating factor 3
PRUNE2	Prune homolog 2 with BCH domain
COPS5	COP9 signalosome subunit 5
NUP98	Nucleoporin 98 and 96 precursor
DCAF13P1	DDB1 and CUL4 associated factor 13 pseudogene 1
RNU6-392P	RNA, U6 small nuclear 392, pseudogene
LARP1BP2	LARP1B pseudogene 2
SLC25A27	Solute carrier family 25 member 27
FAM193B-DT	FAM193B divergent transcript
NAMPT	Nicotinamide phosphoribosyltransferase
LINC01020	Long intergenic non-protein coding RNA 1020
THRA	Thyroid hormone receptor alpha
CACNA1B	Calcium voltage-gated channel subunit alpha1 B
TDRD6	Tudor domain containing 6
GORASP2	Golgi reassembly stacking protein 2
PLA2G7	Phospholipase A2 group VII
ZFP2	ZFP2 zinc finger protein
PKN1	Protein kinase N1
RNA5SP268	RNA, 5S ribosomal pseudogene 268
ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1
SEMA5A-AS1	SEMA5A antisense RNA 1
CFAP53P1	CFAP53 pseudogene 1
WBP1LP4	WBP1L pseudogene 4
